text,language
"The phone has an amazing screen but the battery life is terrible.",en
"I absolutely love the camera quality on this device.",en
"Shipping was very fast, but the customer service was useless when I had a question.",en
"The laptop keyboard feels incredibly cheap, though it runs fast.",en
"Amazing food, terrible atmosphere.",en
"Best purchase I made this year. High quality materials.",en
"The speakers are loud but the bass is non-existent.",en
"Wait staff was friendly, food was completely cold.",en
"I like the design but the software has too many bugs.",en
"Great value for money, highly recommended.",en
"फोन की बैटरी अच्छी है लेकिन कैमरा बेकार है",hi
"मुझे इस लैपटॉप की स्क्रीन बहुत पसंद आई",hi
"डिलीवरी बहुत लेट थी और पैकिंग भी खराब थी",hi
"खाना बहुत स्वादिष्ट था, पर सर्विस थोड़ी स्लो थी",hi
"यह प्रोडक्ट पैसे की बर्बादी है",hi
"Design mast hai par price bahut high hai",hinglish
"Screen quality ekdum awesome hai bhai",hinglish
"Customer support ne help nahi ki, very bad experience",hinglish
"Look and feel to accha hai but performance thik thak hai",hinglish
"Battery drain jaldi hota hai, overall not good",hinglish
